"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10327","TC-007 Should check telnyxs Resources Events page from navigation memu","Telnyx's headers","Mon Nov 24 11:11:20 EET 2025","passed","Mon Nov 24 11:11:31 EET 2025","","","",""
"","5938","TC-010 Should check telnyxs Developers Developers Docs page from navigation memu","Telnyx's headers","Mon Nov 24 11:11:41 EET 2025","passed","Mon Nov 24 11:11:47 EET 2025","","","",""
"","24756","TC-014 Should buy the Telnyx Classic Hat","Telnyx's headers","Mon Nov 24 11:12:07 EET 2025","passed","Mon Nov 24 11:12:32 EET 2025","","","",""
"","1054","TC-019 Should Log In by company name","Telnyx's headers","Mon Nov 24 11:12:46 EET 2025","passed","Mon Nov 24 11:12:47 EET 2025","","","",""
"","4613","TC-003 Should check telnyxs Solutions Healthcare page from navigation memu","Telnyx's headers","Mon Nov 24 11:11:02 EET 2025","passed","Mon Nov 24 11:11:07 EET 2025","","","",""
"","7951","TC-001 Should check telnyxs Products Voice Ai Agents page from navigation memu","Telnyx's headers","Mon Nov 24 11:10:50 EET 2025","passed","Mon Nov 24 11:10:58 EET 2025","","","",""
"","3984","TC-016 Should Log In on Telnyxs portal","Telnyx's headers","Mon Nov 24 11:12:40 EET 2025","passed","Mon Nov 24 11:12:44 EET 2025","","","",""
"","797","TC-017 Should try to reset own passwornd by email","Telnyx's headers","Mon Nov 24 11:12:44 EET 2025","passed","Mon Nov 24 11:12:44 EET 2025","","","",""
"","4872","TC-012 Should check telnyxs Sing Up field with valid credentials","Telnyx's headers","Mon Nov 24 11:11:53 EET 2025","passed","Mon Nov 24 11:11:58 EET 2025","","","",""
"","9350","TC-013 Should check telnyxs Log In field from Contact Us page with valid credentials","Telnyx's headers","Mon Nov 24 11:11:58 EET 2025","passed","Mon Nov 24 11:12:07 EET 2025","","","",""
"","2869","TC-006 Should check telnyxs Pricing Messaging page from navigation memu","Telnyx's headers","Mon Nov 24 11:11:18 EET 2025","passed","Mon Nov 24 11:11:20 EET 2025","","","",""
"","4628","TC-002 Should check telnyxs Products RSC page from navigation memu","Telnyx's headers","Mon Nov 24 11:10:58 EET 2025","passed","Mon Nov 24 11:11:02 EET 2025","","","",""
"","7915","TC-015 Should check search field on Support Center","Telnyx's headers","Mon Nov 24 11:12:32 EET 2025","passed","Mon Nov 24 11:12:40 EET 2025","","","",""
"","6027","TC-008 Should check telnyxs Resources Events page from navigation memu","Telnyx's headers","Mon Nov 24 11:11:31 EET 2025","passed","Mon Nov 24 11:11:37 EET 2025","","","",""
"","5713","TC-005 Should check telnyxs Pricing Conversational Ai page from navigation memu","Telnyx's headers","Mon Nov 24 11:11:12 EET 2025","passed","Mon Nov 24 11:11:18 EET 2025","","","",""
"","4883","TC-004 Should check telnyxs Solutions Logistics And Transportation page from navigation memu","Telnyx's headers","Mon Nov 24 11:11:07 EET 2025","passed","Mon Nov 24 11:11:12 EET 2025","","","",""
"","5534","TC-011 Should check telnyxs Developers Integrations page from navigation memu","Telnyx's headers","Mon Nov 24 11:11:47 EET 2025","passed","Mon Nov 24 11:11:53 EET 2025","","","",""
"","1213","TC-018 Should Log In by invalid company Email","Telnyx's headers","Mon Nov 24 11:12:44 EET 2025","passed","Mon Nov 24 11:12:46 EET 2025","","","",""
"","4401","TC-009 Should check telnyxs Resources Templates page from navigation memu","Telnyx's headers","Mon Nov 24 11:11:37 EET 2025","passed","Mon Nov 24 11:11:41 EET 2025","","","",""
"","6914","TC-020 Should fill random credentials into Stop by booth C32 field","Telnyx's headers","Mon Nov 24 11:12:47 EET 2025","passed","Mon Nov 24 11:12:54 EET 2025","","","",""
